epoch,accuracy,loss,val_accuracy,val_loss
0,0.38555217,1.3130486192315232,0.5158501267433167,1.2338748720262511
1,0.6747855,0.9258870374717575,0.6945244669914246,0.8437166282697782
2,0.81179076,0.5332803766119688,0.7377521395683289,0.7588002475606606
3,0.8524772,0.395076824148507,0.7319884896278381,0.7734999828448557
4,0.88015497,0.32928096961024855,0.7146974205970764,0.7877281244618748
5,0.9081096,0.26268513022269563,0.6916426420211792,0.8299402316296822
6,0.9296983,0.21633265192839302,0.680115282535553,0.8852312753798295
7,0.938832,0.19182154992396833,0.6829971075057983,0.9489448929382676
8,0.9532245,0.1613269836791097,0.6743515729904175,0.980626912556739
9,0.9579297,0.13636835583055446,0.7031700015068054,1.0475858783172256
10,0.9629117,0.12440277717712676,0.6916426420211792,1.0682058725989174
11,0.96457237,0.11290763768501767,0.6887608170509338,1.1227595892007483
12,0.96983117,0.1013716864674137,0.7146974205970764,1.1252919816833409
13,0.97204536,0.09460364790659613,0.7060518860816956,1.190245177285472
14,0.97232217,0.09250600860935398,0.6887608170509338,1.2698239929737893
15,0.9731525,0.08820394151775775,0.6916426420211792,1.2637268390710485
16,0.97370607,0.08037152366984379,0.6887608170509338,1.3036728850015646
17,0.9753667,0.076222956128503,0.7175792455673218,1.2890019375583968
18,0.97508997,0.07228069786480382,0.680115282535553,1.3893168601247694
19,0.9745364,0.07643468048626652,0.6743515729904175,1.3379967037470266
20,0.97370607,0.07037933364844606,0.7002881765365601,1.37604758340962
21,0.9753667,0.06608041196828515,0.6945244669914246,1.4486997137839237
22,0.9770274,0.0683244208743656,0.6858789920806885,1.411866582092703
23,0.9770274,0.06365303659526522,0.6887608170509338,1.4695443787561027
24,0.9753667,0.06443920378760637,0.6916426420211792,1.4672241427369352
